PM10,PM25,SO2,NO2,O3,CO,Humidity,Temperature,WindDirection,WindSpeed,Evaporation,GlobalRadiation,SolarRadiation,DateTemp,Date,Day,Month,Year,Hour,Location,LocationInNum,Usage,MaxDemand,Bill
0,0,0,0,0.0009,2.784,84.867,27.733,6.569,0.61,3.1,18.48,,30/7/2017,30/7/2017 23:00,30,7,2017,2300,PJ,2,8686.295699,19622,3762.939651
0,0,0.0015,0,0,0,86,27.408,5.973,0.903,7.2,30.33,,31/7/2017,31/7/2017 0:00,31,7,2017,0000,PJ,2,8686.295699,19622,3762.939651
59.375,45.979,0.0008,0,0,2.21,88.357,26.743,215.849,0.47,7.2,30.33,,31/7/2017,31/7/2017 1:00,31,7,2017,0100,PJ,2,8686.295699,19622,3762.939651
54.273,42.181,0.0032,0.0293,0,2.071,87.143,26.729,187.946,0.405,7.2,30.33,,31/7/2017,31/7/2017 2:00,31,7,2017,0200,PJ,2,8686.295699,19622,3762.939651
48.999,38.106,0.0003,0.0221,0.0016,1.713,83,26.7,205.054,3.018,7.2,30.33,,31/7/2017,31/7/2017 3:00,31,7,2017,0300,PJ,2,8686.295699,19622,3762.939651
9.273,7.272,0.0003,0,0.014,0.523,92.067,23.527,156.022,1.153,7.2,30.33,,31/7/2017,31/7/2017 4:00,31,7,2017,0400,PJ,2,8686.295699,19622,3762.939651
6.469,3.465,0.0004,0.0063,0.0132,0.572,94,23.3,34.597,1.139,7.2,30.33,,31/7/2017,31/7/2017 5:00,31,7,2017,0500,PJ,2,8686.295699,19622,3762.939651
8.513,5.164,0,0.0114,0.0069,0.69,94,23.44,46.203,0.77,7.2,30.33,,31/7/2017,31/7/2017 6:00,31,7,2017,0600,PJ,2,8686.295699,19622,3762.939651
12.524,8.149,0.0005,0.0169,0.0021,1.392,91.667,24.3,54.074,1.631,7.2,30.33,,31/7/2017,31/7/2017 7:00,31,7,2017,0700,PJ,2,8686.295699,19622,3762.939651
26.905,20.692,0,0.0187,0.0004,2.575,88.733,25.38,60.315,1.472,7.2,30.33,,31/7/2017,31/7/2017 8:00,31,7,2017,0800,PJ,2,8686.295699,19622,3762.939651
29.361,22.865,0,0.0218,0.0025,2.554,79.667,27.32,121.303,1.164,7.2,30.33,,31/7/2017,31/7/2017 9:00,31,7,2017,0900,PJ,2,8686.295699,19622,3762.939651
22.503,17.517,0.0009,0.0225,0.0123,1.229,70.267,29.007,103.577,1.285,7.2,30.33,,31/7/2017,31/7/2017 10:00,31,7,2017,1000,PJ,2,8686.295699,19622,3762.939651
23.768,16.799,0.0013,0.0204,0.0201,0.969,66,30.107,167.769,1.633,7.2,30.33,,31/7/2017,31/7/2017 11:00,31,7,2017,1100,PJ,2,8686.295699,19622,3762.939651
26.086,19.743,0.001,0.0108,0.0307,0.55,63,31.4,215.497,3.778,7.2,30.33,,31/7/2017,31/7/2017 12:00,31,7,2017,1200,PJ,2,8686.295699,19622,3762.939651
27.67,19.526,0.0013,0.0092,0.0349,0.52,61.333,31.947,194.62,1.785,7.2,30.33,,31/7/2017,31/7/2017 13:00,31,7,2017,1300,PJ,2,8686.295699,19622,3762.939651
26.236,18.398,0.0005,0,0.0354,0.508,59.067,32.427,187.764,2.437,7.2,30.33,,31/7/2017,31/7/2017 14:00,31,7,2017,1400,PJ,2,8686.295699,19622,3762.939651
25.459,16.938,0.0003,0,0.034,0.45,56.538,32.854,194.924,1.823,7.2,30.33,,31/7/2017,31/7/2017 15:00,31,7,2017,1500,PJ,2,8686.295699,19622,3762.939651
24.533,16.591,0.0003,0.007,0.0342,0.232,49.857,33.593,196.855,1.957,7.2,30.33,,31/7/2017,31/7/2017 16:00,31,7,2017,1600,PJ,2,8686.295699,19622,3762.939651
20.738,10.991,0.0019,0.0093,0.0287,0.27,0,0,0,0,7.2,30.33,,31/7/2017,31/7/2017 17:00,31,7,2017,1700,PJ,2,8686.295699,19622,3762.939651
17.979,10.879,0.0018,0.0119,0.0264,0.208,51.267,32.473,195.925,1.7,7.2,30.33,,31/7/2017,31/7/2017 18:00,31,7,2017,1800,PJ,2,8686.295699,19622,3762.939651
21.109,14.626,0.0007,0.0171,0.0232,0.134,53.933,31.98,228.034,0.93,7.2,30.33,,31/7/2017,31/7/2017 19:00,31,7,2017,1900,PJ,2,8686.295699,19622,3762.939651
21.029,11.099,0.0005,0.0189,0.019,0,57.067,31.093,231.441,0.919,7.2,30.33,,31/7/2017,31/7/2017 20:00,31,7,2017,2000,PJ,2,8686.295699,19622,3762.939651
0,0,0.0006,0.0229,0.017,0,61.333,30.54,215.083,0.508,7.2,30.33,,31/7/2017,31/7/2017 21:00,31,7,2017,2100,PJ,2,8686.295699,19622,3762.939651
0,0,0.0002,0.0236,0.0108,0.135,66.786,30.079,167.889,0.693,7.2,30.33,,31/7/2017,31/7/2017 22:00,31,7,2017,2200,PJ,2,8686.295699,19622,3762.939651
0,0,0,0,0.0101,0.591,71.133,29.44,170.868,0.586,7.2,30.33,,31/7/2017,31/7/2017 23:00,31,7,2017,2300,PJ,2,8686.295699,19622,3762.939651
