PM10,PM25,SO2,NO2,O3,CO,Humidity,Temperature,WindDirection,WindSpeed,Evaporation,GlobalRadiation,SolarRadiation,DateTemp,Date,Day,Month,Year,Hour,Location,LocationInNum,Usage,MaxDemand,Bill
7.654,5.778,0.0001,0.003,0.0165,0.273,68.283,28.457,61.924,2.611,6.9,21.32,0,1/1/2020,1/1/2020 0:00,1,1,2020,0000,KL,1,8280.452957,17840,3568.241331
7.816,5.82,0.0002,0.0029,0.0158,0.247,70.233,27.868,71.398,1.843,6.9,21.32,0,1/1/2020,1/1/2020 1:00,1,1,2020,0100,KL,1,8280.452957,17840,3568.241331
14.079,12.047,0.0002,0.0046,0.0144,0.33,72.55,27.357,54.811,2.195,6.9,21.32,0,1/1/2020,1/1/2020 2:00,1,1,2020,0200,KL,1,8280.452957,17840,3568.241331
6.621,5.141,0.0001,0.0034,0.0147,0.25,74.217,26.829,62.167,1.617,6.9,21.32,0,1/1/2020,1/1/2020 3:00,1,1,2020,0300,KL,1,8280.452957,17840,3568.241331
10.155,7.93,0.0001,0.0067,0.0093,0.33,78.069,26.083,60.798,0.68,6.9,21.32,0,1/1/2020,1/1/2020 4:00,1,1,2020,0400,KL,1,8280.452957,17840,3568.241331
8.747,6.732,0.0005,0,0.0088,0.303,76.767,25.845,59.844,1.071,6.9,21.32,0,1/1/2020,1/1/2020 5:00,1,1,2020,0500,KL,1,8280.452957,17840,3568.241331
6.456,4.231,0,0,0.0101,0.328,75.385,25.564,66.891,0.838,6.9,21.32,0,1/1/2020,1/1/2020 6:00,1,1,2020,0600,KL,1,8280.452957,17840,3568.241331
7.022,3.89,0.0001,0,0.0112,0,75.067,25.319,73.756,1.265,6.9,21.32,0,1/1/2020,1/1/2020 7:00,1,1,2020,0700,KL,1,8280.452957,17840,3568.241331
10.655,6.66,0.0001,0,0.0135,0.354,73.069,25.649,63.758,1.11,6.9,21.32,0.057,1/1/2020,1/1/2020 8:00,1,1,2020,0800,KL,1,8280.452957,17840,3568.241331
16.222,10.297,0.0003,0.0084,0,0.409,69.434,27.08,60.878,1.243,6.9,21.32,12.274,1/1/2020,1/1/2020 9:00,1,1,2020,0900,KL,1,8280.452957,17840,3568.241331
10.884,6.656,0,0.0025,0.0233,0.171,58.567,29.017,64.297,2.349,6.9,21.32,146.53,1/1/2020,1/1/2020 10:00,1,1,2020,1000,KL,1,8280.452957,17840,3568.241331
9.661,1.892,0.0004,0.0021,0.0254,0.245,54.817,30.18,65.174,2.579,6.9,21.32,458.374,1/1/2020,1/1/2020 11:00,1,1,2020,1100,KL,1,8280.452957,17840,3568.241331
9.02,4.717,0.0001,0.0019,0.0266,0.181,51.8,31.232,66.975,2.738,6.9,21.32,695.687,1/1/2020,1/1/2020 12:00,1,1,2020,1200,KL,1,8280.452957,17840,3568.241331
10.755,6.469,0.0001,0.0019,0.0271,0.202,51.017,31.717,65.096,2.854,6.9,21.32,772.704,1/1/2020,1/1/2020 13:00,1,1,2020,1300,KL,1,8280.452957,17840,3568.241331
13.241,9.606,0.0003,0.0021,0.0264,0.19,49.655,32.243,63.866,3.029,6.9,21.32,344.578,1/1/2020,1/1/2020 14:00,1,1,2020,1400,KL,1,8280.452957,17840,3568.241331
9.641,6.039,0.0003,0.0017,0.0259,0.188,48.91,32.586,68.319,2.826,6.9,21.32,684.338,1/1/2020,1/1/2020 15:00,1,1,2020,1500,KL,1,8280.452957,17840,3568.241331
11.194,7.317,0.0001,0.002,0.0252,0.323,48.483,33.047,64.912,2.377,6.9,21.32,660.579,1/1/2020,1/1/2020 16:00,1,1,2020,1600,KL,1,8280.452957,17840,3568.241331
9.872,6.311,0.0002,0.0024,0.0254,0.283,47.938,32.817,62.44,2.473,6.9,21.32,413.083,1/1/2020,1/1/2020 17:00,1,1,2020,1700,KL,1,8280.452957,17840,3568.241331
11.402,8.026,0.0002,0.0024,0.0253,0.326,48.65,32.755,63.455,2.513,6.9,21.32,94.032,1/1/2020,1/1/2020 18:00,1,1,2020,1800,KL,1,8280.452957,17840,3568.241331
25.315,21.706,0.0002,0.004,0.0234,0.533,51.57,32.025,70.948,2.055,6.9,21.32,8.239,1/1/2020,1/1/2020 19:00,1,1,2020,1900,KL,1,8280.452957,17840,3568.241331
23.442,19.299,0.0002,0.0073,0.0183,0.553,57.317,30.623,70.189,1.54,6.9,21.32,0,1/1/2020,1/1/2020 20:00,1,1,2020,2000,KL,1,8280.452957,17840,3568.241331
54.389,50.965,0.0004,0.0096,0.0162,0.727,62.017,29.603,59.949,1.647,6.9,21.32,0,1/1/2020,1/1/2020 21:00,1,1,2020,2100,KL,1,8280.452957,17840,3568.241331
19.48,15.04,0.0003,0.0148,0.0069,0.902,67.917,28.362,74.055,0.342,6.9,21.32,0,1/1/2020,1/1/2020 22:00,1,1,2020,2200,KL,1,8280.452957,17840,3568.241331
29.462,24.436,0.0005,0.0194,0.0044,0.886,73.542,27.39,59.135,0.4,6.9,21.32,0,1/1/2020,1/1/2020 23:00,1,1,2020,2300,KL,1,8280.452957,17840,3568.241331
33.902,29.576,0.0006,0.0184,0.0073,1.027,76.167,26.984,65.888,0.429,7.1,14.41,0,2/1/2020,2/1/2020 0:00,2,1,2020,0000,KL,1,8280.452957,17840,3568.241331
26.27,21.859,0.0005,0.0145,0.0111,0.691,77.133,26.875,40.682,0.385,7.1,14.41,0,2/1/2020,2/1/2020 1:00,2,1,2020,0100,KL,1,8280.452957,17840,3568.241331
17.742,13.985,0.0004,0.0097,0.0128,0.569,81.981,26.041,65.193,1.02,7.1,14.41,0,2/1/2020,2/1/2020 2:00,2,1,2020,0200,KL,1,8280.452957,17840,3568.241331
10.156,7.839,0.0001,0.0069,0.0093,0.469,89.584,24.725,78.054,0.778,7.1,14.41,0,2/1/2020,2/1/2020 3:00,2,1,2020,0300,KL,1,8280.452957,17840,3568.241331
12.779,10.286,0.0001,0.0073,0.0073,0.393,89.084,24.857,70.083,1.113,7.1,14.41,0,2/1/2020,2/1/2020 4:00,2,1,2020,0400,KL,1,8280.452957,17840,3568.241331
12.471,9.573,0.0003,0.0096,0.002,0.405,89.083,24.895,64.404,1.137,7.1,14.41,0,2/1/2020,2/1/2020 5:00,2,1,2020,0500,KL,1,8280.452957,17840,3568.241331
9.052,6.345,0.0002,0,0.0012,0.575,88.6,24.943,61.386,1.151,7.1,14.41,0,2/1/2020,2/1/2020 6:00,2,1,2020,0600,KL,1,8280.452957,17840,3568.241331
13.626,11.066,0.0001,0,0.0015,0,85.7,25.248,67.153,1.007,7.1,14.41,0,2/1/2020,2/1/2020 7:00,2,1,2020,0700,KL,1,8280.452957,17840,3568.241331
10.835,7.773,0.0003,0,0.0007,1.169,83.842,25.503,73.61,1.099,7.1,14.41,2.02,2/1/2020,2/1/2020 8:00,2,1,2020,0800,KL,1,8280.452957,17840,3568.241331
21.723,16.842,0.0005,0.0136,0,1.304,82.2,26.419,58.694,0.286,7.1,14.41,56.869,2/1/2020,2/1/2020 9:00,2,1,2020,0900,KL,1,8280.452957,17840,3568.241331
19.678,14.144,0,0.0152,0.005,1.018,72.283,29.074,61.542,0.272,7.1,14.41,147.92,2/1/2020,2/1/2020 10:00,2,1,2020,1000,KL,1,8280.452957,17840,3568.241331
10.141,6.797,0.0005,0.0065,0.0148,0.542,63.133,30.017,60.38,1.594,7.1,14.41,242.871,2/1/2020,2/1/2020 11:00,2,1,2020,1100,KL,1,8280.452957,17840,3568.241331
8.965,7.008,0.0002,0.0028,0.0188,0.509,60.983,30.618,58.968,2.601,7.1,14.41,624.024,2/1/2020,2/1/2020 12:00,2,1,2020,1200,KL,1,8280.452957,17840,3568.241331
9.222,6.991,0.0001,0.0032,0.0193,0.387,60.511,30.658,86.197,2.397,7.1,14.41,414.271,2/1/2020,2/1/2020 13:00,2,1,2020,1300,KL,1,8280.452957,17840,3568.241331
12.969,11.701,0.0001,0.0022,0.0207,0.334,58.723,31.103,58.8,3.282,7.1,14.41,424.553,2/1/2020,2/1/2020 14:00,2,1,2020,1400,KL,1,8280.452957,17840,3568.241331
8.195,6.649,0.0001,0.0022,0.0218,0.574,56.367,31.815,52.678,2.636,7.1,14.41,589.742,2/1/2020,2/1/2020 15:00,2,1,2020,1500,KL,1,8280.452957,17840,3568.241331
5.45,3.161,0.0001,0.0025,0.0199,0.373,58.07,31.496,59.653,2.725,7.1,14.41,225.898,2/1/2020,2/1/2020 16:00,2,1,2020,1600,KL,1,8280.452957,17840,3568.241331
6.632,4.445,0.0001,0.0026,0.02,0.399,59.3,31.233,67.211,2.316,7.1,14.41,222.574,2/1/2020,2/1/2020 17:00,2,1,2020,1700,KL,1,8280.452957,17840,3568.241331
7.861,5.749,0.0001,0.0039,0.0191,0.334,59.8,30.967,71.806,2.629,7.1,14.41,87.792,2/1/2020,2/1/2020 18:00,2,1,2020,1800,KL,1,8280.452957,17840,3568.241331
18.204,15.657,0.0001,0.0057,0.0164,0.652,61.776,30.411,70.646,1.596,7.1,14.41,7.242,2/1/2020,2/1/2020 19:00,2,1,2020,1900,KL,1,8280.452957,17840,3568.241331
11.597,9.4,0.0001,0.0091,0.0108,0.692,73.467,28.315,80.351,1.11,7.1,14.41,0,2/1/2020,2/1/2020 20:00,2,1,2020,2000,KL,1,8280.452957,17840,3568.241331
