PM10,PM25,SO2,NO2,O3,CO,Humidity,Temperature,WindDirection,WindSpeed,Evaporation,GlobalRadiation,SolarRadiation,DateTemp,Date,Day,Month,Year,Hour,Location,LocationInNum,Usage,MaxDemand,Bill
18.289,12.862,0.0008,0.0142,0.0033,0.918,93.267,23.67,101.693,0.587,7,22.19,,1/1/2019,1/1/2019 0:00,1,1,2019,0000,KL,1,8843.341398,18405,3744.361075
11.286,7.386,0.0011,0.0137,0.0012,0.928,92.984,24.099,87.844,0.425,7,22.19,,1/1/2019,1/1/2019 1:00,1,1,2019,0100,KL,1,8843.341398,18405,3744.361075
14.289,10.182,0.001,0.0079,0.0028,0.697,92.55,24.108,62.574,0.207,7,22.19,,1/1/2019,1/1/2019 2:00,1,1,2019,0200,KL,1,8843.341398,18405,3744.361075
17.288,11.998,0.0008,0.0108,0.0011,0.841,91.617,24.25,86.079,0.643,7,22.19,,1/1/2019,1/1/2019 3:00,1,1,2019,0300,KL,1,8843.341398,18405,3744.361075
4.479,1.165,0.0008,0.0115,0.0009,0.71,88.917,24.417,69.171,0.908,7,22.19,,1/1/2019,1/1/2019 4:00,1,1,2019,0400,KL,1,8843.341398,18405,3744.361075
12.874,8.196,0.0005,0.0111,0.0007,0.737,89.028,24.188,75.401,1.186,7,22.19,,1/1/2019,1/1/2019 5:00,1,1,2019,0500,KL,1,8843.341398,18405,3744.361075
15.262,11.277,0.0009,0.013,0.0059,0.819,70.817,28.54,65.851,0.997,7,22.19,,1/1/2019,1/1/2019 10:00,1,1,2019,1000,KL,1,8843.341398,18405,3744.361075
18.491,14.06,0.0008,0.0111,0.0124,0.768,63.25,30.617,29.055,0.361,7,22.19,,1/1/2019,1/1/2019 11:00,1,1,2019,1100,KL,1,8843.341398,18405,3744.361075
13.924,10.375,0.0009,0.0095,0.0168,0.783,59.35,31.462,317.409,0.219,7,22.19,,1/1/2019,1/1/2019 12:00,1,1,2019,1200,KL,1,8843.341398,18405,3744.361075
7.835,5.083,0.001,0.0079,0.0213,0.64,56.867,32.355,178.104,0.423,7,22.19,,1/1/2019,1/1/2019 13:00,1,1,2019,1300,KL,1,8843.341398,18405,3744.361075
10.039,6.44,0.0008,0.0081,0.0274,0.645,54.583,33.402,162.16,0.182,7,22.19,,1/1/2019,1/1/2019 14:00,1,1,2019,1400,KL,1,8843.341398,18405,3744.361075
14.754,11.384,0.0008,0.0084,0.0306,0.65,53.25,34.175,197.326,0.245,7,22.19,,1/1/2019,1/1/2019 15:00,1,1,2019,1500,KL,1,8843.341398,18405,3744.361075
13.547,9.006,0.0007,0.0104,0.0385,0.727,60.633,31.842,68.946,1.266,7,22.19,,1/1/2019,1/1/2019 16:00,1,1,2019,1600,KL,1,8843.341398,18405,3744.361075
23.827,18.575,0.0008,0.018,0.0236,0.972,66.113,30.927,89.542,1,7,22.19,,1/1/2019,1/1/2019 17:00,1,1,2019,1700,KL,1,8843.341398,18405,3744.361075
22.95,18.356,0.0006,0.0104,0.0219,0.767,75.15,28.102,76.892,0.987,7,22.19,,1/1/2019,1/1/2019 18:00,1,1,2019,1800,KL,1,8843.341398,18405,3744.361075
12.635,9.628,0.0005,0.0111,0.0138,0.799,96.9,23.428,213.294,0.161,7,22.19,,1/1/2019,1/1/2019 19:00,1,1,2019,1900,KL,1,8843.341398,18405,3744.361075
7.011,4.645,0.0006,0.0136,0.0093,0.825,97.38,23.095,100.193,0.412,7,22.19,,1/1/2019,1/1/2019 20:00,1,1,2019,2000,KL,1,8843.341398,18405,3744.361075
17.177,13.388,0.0007,0.0211,0.003,1.235,97.784,23.202,75.978,0.978,7,22.19,,1/1/2019,1/1/2019 21:00,1,1,2019,2100,KL,1,8843.341398,18405,3744.361075
14.538,10.57,0.0008,0.0172,0.006,1.169,97.867,23.737,65.146,1.018,7,22.19,,1/1/2019,1/1/2019 22:00,1,1,2019,2200,KL,1,8843.341398,18405,3744.361075
6.431,5.361,0.0007,0.0141,0.0105,0.862,98,23.525,71.993,0.466,7,22.19,,1/1/2019,1/1/2019 23:00,1,1,2019,2300,KL,1,8843.341398,18405,3744.361075
14.498,12.6,0.0006,0.0134,0.0091,0.803,98,23.359,99.749,0.525,4.8,18.87,,2/1/2019,2/1/2019 0:00,2,1,2019,0000,KL,1,8843.341398,18405,3744.361075
18.515,15.87,0.0008,0.018,0.0052,0.796,98,23.455,83.966,0.599,4.8,18.87,,2/1/2019,2/1/2019 1:00,2,1,2019,0100,KL,1,8843.341398,18405,3744.361075
13.021,10.592,0.0009,0.0167,0.0037,0.822,98,23.697,78.299,0.488,4.8,18.87,,2/1/2019,2/1/2019 2:00,2,1,2019,0200,KL,1,8843.341398,18405,3744.361075
18.215,14.398,0.0007,0.0141,0.0037,0.774,97.633,23.503,72.445,0.494,4.8,18.87,,2/1/2019,2/1/2019 3:00,2,1,2019,0300,KL,1,8843.341398,18405,3744.361075
15.056,9.587,0.0007,0.0054,0.0063,0.633,97,23.047,100.784,0.321,4.8,18.87,,2/1/2019,2/1/2019 4:00,2,1,2019,0400,KL,1,8843.341398,18405,3744.361075
24.585,19.551,0.0006,0.0108,0.0029,0.767,96.967,22.868,76.362,0.453,4.8,18.87,,2/1/2019,2/1/2019 5:00,2,1,2019,0500,KL,1,8843.341398,18405,3744.361075
28.191,21.23,0.0013,0.0195,0.0029,1.298,80.906,26.542,68.937,0.634,4.8,18.87,,2/1/2019,2/1/2019 10:00,2,1,2019,1000,KL,1,8843.341398,18405,3744.361075
37.033,27.994,0.0012,0.026,0.0093,1.257,70.167,29.975,96.271,0.458,4.8,18.87,,2/1/2019,2/1/2019 11:00,2,1,2019,1100,KL,1,8843.341398,18405,3744.361075
29.117,21.598,0.0014,0.0223,0.0247,1.07,63.717,31.345,88.794,0.475,4.8,18.87,,2/1/2019,2/1/2019 12:00,2,1,2019,1200,KL,1,8843.341398,18405,3744.361075
36.299,26.373,0.0015,0.0275,0.0235,1.109,60.663,31.82,165.233,0.628,4.8,18.87,,2/1/2019,2/1/2019 13:00,2,1,2019,1300,KL,1,8843.341398,18405,3744.361075
28.077,19.445,0.0012,0.0205,0.0244,1.051,59.23,32.302,253.602,0.365,4.8,18.87,,2/1/2019,2/1/2019 14:00,2,1,2019,1400,KL,1,8843.341398,18405,3744.361075
23.025,15.217,0.001,0.0159,0.0268,0.919,59.134,32.042,230.399,0.609,4.8,18.87,,2/1/2019,2/1/2019 15:00,2,1,2019,1500,KL,1,8843.341398,18405,3744.361075
20.924,14.244,0.0008,0.0151,0.0295,0.908,62.667,31.133,238.261,0.457,4.8,18.87,,2/1/2019,2/1/2019 16:00,2,1,2019,1600,KL,1,8843.341398,18405,3744.361075
22.617,16.093,0.0011,0.0136,0.0355,0.876,65.731,30.667,257.589,0.582,4.8,18.87,,2/1/2019,2/1/2019 17:00,2,1,2019,1700,KL,1,8843.341398,18405,3744.361075
20.226,14.454,0.0011,0.0141,0.03,0.983,65.799,30.615,260.851,0.66,4.8,18.87,,2/1/2019,2/1/2019 18:00,2,1,2019,1800,KL,1,8843.341398,18405,3744.361075
20.594,14.955,0.0011,0.0145,0.0312,1.064,71.733,29.198,269.563,0.392,4.8,18.87,,2/1/2019,2/1/2019 19:00,2,1,2019,1900,KL,1,8843.341398,18405,3744.361075
17.791,14.54,0.001,0.0162,0.0205,0.943,82.983,26.345,74.594,1.634,4.8,18.87,,2/1/2019,2/1/2019 20:00,2,1,2019,2000,KL,1,8843.341398,18405,3744.361075
19.007,15.579,0.001,0.0179,0.0119,0.978,89.967,25.015,62.356,1.188,4.8,18.87,,2/1/2019,2/1/2019 21:00,2,1,2019,2100,KL,1,8843.341398,18405,3744.361075
20.311,16.639,0.0011,0.0225,0.0084,1.158,94.317,24.777,80.566,0.671,4.8,18.87,,2/1/2019,2/1/2019 22:00,2,1,2019,2200,KL,1,8843.341398,18405,3744.361075
19.025,14.853,0.001,0.0252,0.0031,1.206,94.034,24.823,85.541,0.952,4.8,18.87,,2/1/2019,2/1/2019 23:00,2,1,2019,2300,KL,1,8843.341398,18405,3744.361075
20.806,17.479,0.0009,0.0181,0.0077,0.954,91.583,24.959,70.299,0.973,6,18.52,,3/1/2019,3/1/2019 0:00,3,1,2019,0000,KL,1,8843.341398,18405,3744.361075
16.907,14.449,0.0008,0.0159,0.0108,0.897,90.65,24.537,85.831,0.632,6,18.52,,3/1/2019,3/1/2019 1:00,3,1,2019,0100,KL,1,8843.341398,18405,3744.361075
20.958,16.744,0.0007,0.017,0.0067,0.931,92.3,24.347,70.162,0.71,6,18.52,,3/1/2019,3/1/2019 2:00,3,1,2019,0200,KL,1,8843.341398,18405,3744.361075
13.821,10.471,0.001,0.0135,0.0081,0.823,91.694,24.43,73.641,0.532,6,18.52,,3/1/2019,3/1/2019 3:00,3,1,2019,0300,KL,1,8843.341398,18405,3744.361075
21.192,16.297,0.001,0.0141,0.008,0.813,91.5,24.857,80.17,0.41,6,18.52,,3/1/2019,3/1/2019 4:00,3,1,2019,0400,KL,1,8843.341398,18405,3744.361075
26.261,19.717,0.0006,0.0035,0.0238,0.765,88.543,26.084,279.343,0.709,6,18.52,,3/1/2019,3/1/2019 5:00,3,1,2019,0500,KL,1,8843.341398,18405,3744.361075
30.61,23.382,0.0012,0.015,0.0149,1.064,76.8,27.442,297.725,0.64,6,18.52,,3/1/2019,3/1/2019 10:00,3,1,2019,1000,KL,1,8843.341398,18405,3744.361075
26.922,20.158,0.0011,0.0105,0.0179,0.884,68.55,29.479,296.08,0.792,6,18.52,,3/1/2019,3/1/2019 11:00,3,1,2019,1100,KL,1,8843.341398,18405,3744.361075
21.415,15.594,0.0011,0.0124,0.0186,0.898,65.117,30.303,311.098,0.675,6,18.52,,3/1/2019,3/1/2019 12:00,3,1,2019,1200,KL,1,8843.341398,18405,3744.361075
27.915,21.341,0.0012,0.0136,0.0213,0.911,66.567,30.285,313.325,0.726,6,18.52,,3/1/2019,3/1/2019 13:00,3,1,2019,1300,KL,1,8843.341398,18405,3744.361075
