PM10,PM25,SO2,NO2,O3,CO,Humidity,Temperature,WindDirection,WindSpeed,Evaporation,GlobalRadiation,SolarRadiation,DateTemp,Date,Day,Month,Year,Hour,Location,LocationInNum,Usage,MaxDemand,Bill
18.778,11.958,0.0007,0.0092,0.014,0.931,88.883,25.387,51.407,1.204,2.5,10.34,0,1/1/2021,1/1/2021 0:00,1,1,2021,0000,KL,1,5660.725806,12912,2283.481734
21.652,13.822,0.0007,0.0168,0.0064,0.982,93.717,24.368,80.128,0.367,2.5,10.34,0,1/1/2021,1/1/2021 1:00,1,1,2021,0100,KL,1,5660.725806,12912,2283.481734
26.918,13.965,0.0007,0.0168,0.0028,1.036,93.867,24.433,80.438,0.283,2.5,10.34,0,1/1/2021,1/1/2021 2:00,1,1,2021,0200,KL,1,5660.725806,12912,2283.481734
23.82,9.142,0.0007,0.0111,0.0028,0.884,93.983,24.437,59.385,0.31,2.5,10.34,0,1/1/2021,1/1/2021 3:00,1,1,2021,0300,KL,1,5660.725806,12912,2283.481734
25.847,10.566,0.0008,0.0099,0.0035,0.944,93.5,24.508,89.499,0.344,2.5,10.34,0,1/1/2021,1/1/2021 4:00,1,1,2021,0400,KL,1,5660.725806,12912,2283.481734
20.107,10.005,0.0007,0.0089,0.0053,0.927,91.717,24.502,80.621,0.226,2.5,10.34,0,1/1/2021,1/1/2021 5:00,1,1,2021,0500,KL,1,5660.725806,12912,2283.481734
21.182,7.159,0.0011,0.0103,0.0039,0.854,92.284,24.349,93.409,0.235,2.5,10.34,0,1/1/2021,1/1/2021 6:00,1,1,2021,0600,KL,1,5660.725806,12912,2283.481734
13.626,4.187,0.0007,0.0124,0.0076,0.912,90.514,24.355,81.854,0.508,2.5,10.34,0,1/1/2021,1/1/2021 7:00,1,1,2021,0700,KL,1,5660.725806,12912,2283.481734
8.101,2.887,0.0006,0.0097,0,0.986,87.188,24.588,73.113,0.82,2.5,10.34,0,1/1/2021,1/1/2021 8:00,1,1,2021,0800,KL,1,5660.725806,12912,2283.481734
19.804,12.778,0,0.0156,0.0094,1.316,88.084,24.682,78.709,0.587,2.5,10.34,2.664,1/1/2021,1/1/2021 9:00,1,1,2021,0900,KL,1,5660.725806,12912,2283.481734
12.755,6.423,0.0011,0.0134,0.0138,1.195,87.395,24.808,71.467,0.928,2.5,10.34,15.725,1/1/2021,1/1/2021 10:00,1,1,2021,1000,KL,1,5660.725806,12912,2283.481734
24.353,15.915,0.0009,0.0133,0.0101,0,86.967,25.597,59.409,0.555,2.5,10.34,111.68,1/1/2021,1/1/2021 11:00,1,1,2021,1100,KL,1,5660.725806,12912,2283.481734
7.091,0.979,0.0008,0,0.0216,1.003,76.117,27.81,99.427,1.331,2.5,10.34,237.856,1/1/2021,1/1/2021 12:00,1,1,2021,1200,KL,1,5660.725806,12912,2283.481734
12.434,9.349,0.0006,0.0026,0.0287,0.842,66.517,28.883,65.73,2.323,2.5,10.34,302.487,1/1/2021,1/1/2021 13:00,1,1,2021,1300,KL,1,5660.725806,12912,2283.481734
7.201,3.886,0.0006,0.0024,0.0333,0.872,64.967,29.322,55.478,2.597,2.5,10.34,298.728,1/1/2021,1/1/2021 14:00,1,1,2021,1400,KL,1,5660.725806,12912,2283.481734
6.399,2.181,0.0004,0.0042,0.0331,0.952,64.441,30.167,61.318,0.957,2.5,10.34,261.125,1/1/2021,1/1/2021 15:00,1,1,2021,1500,KL,1,5660.725806,12912,2283.481734
7.651,2.201,0.0005,0.0059,0.0319,1.029,65.717,30.107,72.259,0.574,2.5,10.34,133.626,1/1/2021,1/1/2021 16:00,1,1,2021,1600,KL,1,5660.725806,12912,2283.481734
16.202,9.658,0.0003,0.0043,0.0335,0.965,61.95,30.855,95.561,0.836,2.5,10.34,182.464,1/1/2021,1/1/2021 17:00,1,1,2021,1700,KL,1,5660.725806,12912,2283.481734
12.656,7.403,0.0003,0.0032,0.0304,0.93,63.767,30.132,72.174,1.695,2.5,10.34,68.173,1/1/2021,1/1/2021 18:00,1,1,2021,1800,KL,1,5660.725806,12912,2283.481734
16.367,9.56,0.0003,0.0013,0.0271,0.957,66.583,29.328,75.633,1.93,2.5,10.34,23.798,1/1/2021,1/1/2021 19:00,1,1,2021,1900,KL,1,5660.725806,12912,2283.481734
16.921,10.992,0.0002,0.0033,0.0239,0.963,71.6,28.115,75.599,1.753,2.5,10.34,0,1/1/2021,1/1/2021 20:00,1,1,2021,2000,KL,1,5660.725806,12912,2283.481734
16.622,10.17,0.0001,0.006,0.0183,1.043,74.45,27.495,63.567,1.355,2.5,10.34,0,1/1/2021,1/1/2021 21:00,1,1,2021,2100,KL,1,5660.725806,12912,2283.481734
17.742,9.478,0.0002,0.0066,0.0155,1.092,75.967,27.175,61.285,1.442,2.5,10.34,0,1/1/2021,1/1/2021 22:00,1,1,2021,2200,KL,1,5660.725806,12912,2283.481734
34.518,21.701,0.0003,0.0132,0.0076,1.35,78.75,26.802,87.745,0.508,2.5,10.34,0,1/1/2021,1/1/2021 23:00,1,1,2021,2300,KL,1,5660.725806,12912,2283.481734
41.929,27.585,0.0003,0.0169,0.0023,1.452,81.25,26.422,76.199,0.709,8.3,6.67,0,2/1/2021,2/1/2021 0:00,2,1,2021,0000,KL,1,5660.725806,12912,2283.481734
21.195,9.783,0.0002,0.0094,0.0088,1.156,80.05,26.332,64.352,1.146,8.3,6.67,0,2/1/2021,2/1/2021 1:00,2,1,2021,0100,KL,1,5660.725806,12912,2283.481734
10.366,2.564,0.0001,0.006,0.0144,1.005,80.2,25.983,56.472,0.785,8.3,6.67,0,2/1/2021,2/1/2021 2:00,2,1,2021,0200,KL,1,5660.725806,12912,2283.481734
28.393,12.964,0.0002,0.0094,0.0049,1.056,85.133,25.487,71.145,0.603,8.3,6.67,0,2/1/2021,2/1/2021 3:00,2,1,2021,0300,KL,1,5660.725806,12912,2283.481734
17.491,4.986,0.0002,0.0078,0.0055,1.01,84.817,25.27,73.674,0.455,8.3,6.67,0,2/1/2021,2/1/2021 4:00,2,1,2021,0400,KL,1,5660.725806,12912,2283.481734
27.601,12.191,0.0002,0.0025,0.0063,0.918,86.934,25.005,69.041,0.366,8.3,6.67,0,2/1/2021,2/1/2021 5:00,2,1,2021,0500,KL,1,5660.725806,12912,2283.481734
22.458,6.595,0.0004,0.0081,0.0034,0.941,87.334,24.867,47.09,0.192,8.3,6.67,0,2/1/2021,2/1/2021 6:00,2,1,2021,0600,KL,1,5660.725806,12912,2283.481734
